"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2022/09/01","00:00","1.403","-","1.02"
"2022/09/01","00:06","1.439","-","1.04"
"2022/09/01","00:12","1.473","-","1.07"
"2022/09/01","00:18","1.507","-","1.11"
"2022/09/01","00:24","1.54","-","1.14"
"2022/09/01","00:30","1.571","-","1.17"
"2022/09/01","00:36","1.602","-","1.21"
"2022/09/01","00:42","1.631","-","1.25"
"2022/09/01","00:48","1.659","-","1.28"
"2022/09/01","00:54","1.685","-","1.32"
"2022/09/01","01:00","1.71","-","1.35"
"2022/09/01","01:06","1.734","-","1.37"
"2022/09/01","01:12","1.756","-","1.41"
"2022/09/01","01:18","1.777","-","1.44"
"2022/09/01","01:24","1.796","-","1.47"
"2022/09/01","01:30","1.814","-","1.49"
"2022/09/01","01:36","1.83","-","1.51"
"2022/09/01","01:42","1.845","-","1.53"
"2022/09/01","01:48","1.858","-","1.54"
"2022/09/01","01:54","1.869","-","1.56"
"2022/09/01","02:00","1.879","-","1.57"
"2022/09/01","02:06","1.888","-","1.58"
"2022/09/01","02:12","1.894","-","1.59"
"2022/09/01","02:18","1.899","-","1.61"
"2022/09/01","02:24","1.902","-","1.61"
"2022/09/01","02:30","1.904","-","1.62"
"2022/09/01","02:36","1.904","-","1.62"
"2022/09/01","02:42","1.902","-","1.62"
"2022/09/01","02:48","1.899","-","1.62"
"2022/09/01","02:54","1.895","-","1.62"
"2022/09/01","03:00","1.889","-","1.61"
"2022/09/01","03:06","1.881","-","1.59"
"2022/09/01","03:12","1.872","-","1.59"
"2022/09/01","03:18","1.862","-","1.58"
"2022/09/01","03:24","1.85","-","1.56"
"2022/09/01","03:30","1.837","-","1.55"
"2022/09/01","03:36","1.823","-","1.54"
"2022/09/01","03:42","1.808","-","1.53"
"2022/09/01","03:48","1.792","-","1.51"
"2022/09/01","03:54","1.775","-","1.49"
"2022/09/01","04:00","1.757","-","1.48"
"2022/09/01","04:06","1.738","-","1.46"
"2022/09/01","04:12","1.718","-","1.43"
"2022/09/01","04:18","1.698","-","1.4"
"2022/09/01","04:24","1.678","-","1.38"
"2022/09/01","04:30","1.656","-","1.36"
"2022/09/01","04:36","1.634","-","1.34"
"2022/09/01","04:42","1.612","-","1.32"
"2022/09/01","04:48","1.589","-","1.3"
"2022/09/01","04:54","1.566","-","1.29"
"2022/09/01","05:00","1.543","-","1.27"
"2022/09/01","05:06","1.52","-","1.26"
"2022/09/01","05:12","1.496","-","1.24"
"2022/09/01","05:18","1.472","-","1.22"
"2022/09/01","05:24","1.448","-","1.2"
"2022/09/01","05:30","1.424","-","1.18"
"2022/09/01","05:36","1.4","-","1.16"
"2022/09/01","05:42","1.376","-","1.13"
"2022/09/01","05:48","1.352","-","1.11"
"2022/09/01","05:54","1.329","-","1.09"
"2022/09/01","06:00","1.305","-","1.06"
"2022/09/01","06:06","1.282","-","1.03"
"2022/09/01","06:12","1.259","-","1.01"
"2022/09/01","06:18","1.237","-","0.99"
"2022/09/01","06:24","1.214","-","0.97"
"2022/09/01","06:30","1.193","-","0.95"
"2022/09/01","06:36","1.171","-","0.92"
"2022/09/01","06:42","1.151","-","0.9"
"2022/09/01","06:48","1.131","-","0.87"
"2022/09/01","06:54","1.111","-","0.85"
"2022/09/01","07:00","1.092","-","0.83"
"2022/09/01","07:06","1.074","-","0.81"
"2022/09/01","07:12","1.057","-","0.79"
"2022/09/01","07:18","1.04","-","0.78"
"2022/09/01","07:24","1.024","-","0.76"
"2022/09/01","07:30","1.009","-","0.74"
"2022/09/01","07:36","0.994","-","0.72"
"2022/09/01","07:42","0.98","-","0.71"
"2022/09/01","07:48","0.967","-","0.7"
"2022/09/01","07:54","0.954","-","0.69"
"2022/09/01","08:00","0.942","-","0.68"
"2022/09/01","08:06","0.931","-","0.67"
"2022/09/01","08:12","0.92","-","0.65"
"2022/09/01","08:18","0.91","-","0.64"
"2022/09/01","08:24","0.901","-","0.63"
"2022/09/01","08:30","0.892","-","0.63"
"2022/09/01","08:36","0.884","-","0.62"
"2022/09/01","08:42","0.876","-","0.62"
"2022/09/01","08:48","0.87","-","0.62"
"2022/09/01","08:54","0.864","-","0.63"
"2022/09/01","09:00","0.858","-","0.62"
"2022/09/01","09:06","0.854","-","0.62"
"2022/09/01","09:12","0.851","-","0.62"
"2022/09/01","09:18","0.848","-","0.61"
"2022/09/01","09:24","0.846","-","0.62"
"2022/09/01","09:30","0.846","-","0.63"
"2022/09/01","09:36","0.846","-","0.63"
"2022/09/01","09:42","0.848","-","0.64"
"2022/09/01","09:48","0.851","-","0.64"
"2022/09/01","09:54","0.856","-","0.64"
"2022/09/01","10:00","0.861","-","0.65"
"2022/09/01","10:06","0.868","-","0.67"
"2022/09/01","10:12","0.877","-","0.68"
"2022/09/01","10:18","0.887","-","0.69"
"2022/09/01","10:24","0.898","-","0.71"
"2022/09/01","10:30","0.911","-","0.73"
"2022/09/01","10:36","0.925","-","0.74"
"2022/09/01","10:42","0.941","-","0.76"
"2022/09/01","10:48","0.958","-","0.77"
"2022/09/01","10:54","0.976","-","0.8"
"2022/09/01","11:00","0.995","-","0.82"
"2022/09/01","11:06","1.015","-","0.84"
"2022/09/01","11:12","1.036","-","0.86"
"2022/09/01","11:18","1.058","-","0.88"
"2022/09/01","11:24","1.081","-","0.91"
"2022/09/01","11:30","1.104","-","0.93"
"2022/09/01","11:36","1.127","-","0.95"
"2022/09/01","11:42","1.151","-","0.98"
"2022/09/01","11:48","1.175","-","1"
"2022/09/01","11:54","1.199","-","1.03"
"2022/09/01","12:00","1.223","-","1.05"
"2022/09/01","12:06","1.247","-","1.07"
"2022/09/01","12:12","1.27","-","1.09"
"2022/09/01","12:18","1.292","-","1.12"
"2022/09/01","12:24","1.315","-","1.14"
"2022/09/01","12:30","1.336","-","1.17"
"2022/09/01","12:36","1.357","-","1.19"
"2022/09/01","12:42","1.376","-","1.21"
"2022/09/01","12:48","1.395","-","1.23"
"2022/09/01","12:54","1.413","-","1.25"
"2022/09/01","13:00","1.43","-","1.27"
"2022/09/01","13:06","1.446","-","1.29"
"2022/09/01","13:12","1.461","-","1.31"
"2022/09/01","13:18","1.474","-","1.33"
"2022/09/01","13:24","1.487","-","1.33"
"2022/09/01","13:30","1.498","-","1.35"
"2022/09/01","13:36","1.508","-","1.34"
"2022/09/01","13:42","1.517","-","1.35"
"2022/09/01","13:48","1.525","-","1.37"
"2022/09/01","13:54","1.531","-","1.37"
"2022/09/01","14:00","1.537","-","1.38"
"2022/09/01","14:06","1.541","-","1.4"
"2022/09/01","14:12","1.543","-","1.4"
"2022/09/01","14:18","1.545","-","1.41"
"2022/09/01","14:24","1.545","-","1.4"
"2022/09/01","14:30","1.544","-","1.41"
"2022/09/01","14:36","1.541","-","1.4"
"2022/09/01","14:42","1.538","-","1.41"
"2022/09/01","14:48","1.533","-","1.42"
"2022/09/01","14:54","1.526","-","1.42"
"2022/09/01","15:00","1.518","-","1.42"
"2022/09/01","15:06","1.509","-","1.42"
"2022/09/01","15:12","1.499","-","1.41"
"2022/09/01","15:18","1.488","-","1.42"
"2022/09/01","15:24","1.475","-","1.42"
"2022/09/01","15:30","1.461","-","1.41"
"2022/09/01","15:36","1.446","-","1.4"
"2022/09/01","15:42","1.429","-","1.4"
"2022/09/01","15:48","1.412","-","1.38"
"2022/09/01","15:54","1.394","-","1.37"
"2022/09/01","16:00","1.374","-","1.34"
"2022/09/01","16:06","1.354","-","1.31"
"2022/09/01","16:12","1.333","-","1.29"
"2022/09/01","16:18","1.311","-","1.27"
"2022/09/01","16:24","1.288","-","1.24"
"2022/09/01","16:30","1.264","-","1.22"
"2022/09/01","16:36","1.24","-","1.2"
"2022/09/01","16:42","1.216","-","1.16"
"2022/09/01","16:48","1.191","-","1.15"
"2022/09/01","16:54","1.165","-","1.13"
"2022/09/01","17:00","1.139","-","1.11"
"2022/09/01","17:06","1.113","-","1.08"
"2022/09/01","17:12","1.087","-","1.06"
"2022/09/01","17:18","1.06","-","1.01"
"2022/09/01","17:24","1.033","-","0.98"
"2022/09/01","17:30","1.006","-","0.95"
"2022/09/01","17:36","0.98","-","0.92"
"2022/09/01","17:42","0.953","-","0.91"
"2022/09/01","17:48","0.926","-","0.87"
"2022/09/01","17:54","0.9","-","0.83"
"2022/09/01","18:00","0.874","-","0.82"
"2022/09/01","18:06","0.848","-","0.79"
"2022/09/01","18:12","0.822","-","0.76"
"2022/09/01","18:18","0.797","-","0.75"
"2022/09/01","18:24","0.773","-","0.73"
"2022/09/01","18:30","0.749","-","0.71"
"2022/09/01","18:36","0.726","-","0.7"
"2022/09/01","18:42","0.704","-","0.69"
"2022/09/01","18:48","0.682","-","0.68"
"2022/09/01","18:54","0.661","-","0.66"
"2022/09/01","19:00","0.641","-","0.63"
"2022/09/01","19:06","0.622","-","0.6"
"2022/09/01","19:12","0.605","-","0.57"
"2022/09/01","19:18","0.588","-","0.57"
"2022/09/01","19:24","0.572","-","0.55"
"2022/09/01","19:30","0.557","-","0.53"
"2022/09/01","19:36","0.544","-","0.52"
"2022/09/01","19:42","0.532","-","0.49"
"2022/09/01","19:48","0.52","-","0.47"
"2022/09/01","19:54","0.51","-","0.44"
"2022/09/01","20:00","0.501","-","0.44"
"2022/09/01","20:06","0.494","-","0.43"
"2022/09/01","20:12","0.487","-","0.42"
"2022/09/01","20:18","0.482","-","0.4"
"2022/09/01","20:24","0.477","-","0.38"
"2022/09/01","20:30","0.474","-","0.37"
"2022/09/01","20:36","0.472","-","0.36"
"2022/09/01","20:42","0.471","-","0.35"
"2022/09/01","20:48","0.471","-","0.35"
"2022/09/01","20:54","0.472","-","0.36"
"2022/09/01","21:00","0.474","-","0.35"
"2022/09/01","21:06","0.477","-","0.35"
"2022/09/01","21:12","0.481","-","0.36"
"2022/09/01","21:18","0.486","-","0.37"
"2022/09/01","21:24","0.493","-","0.38"
"2022/09/01","21:30","0.501","-","0.39"
"2022/09/01","21:36","0.509","-","0.4"
"2022/09/01","21:42","0.52","-","0.42"
"2022/09/01","21:48","0.531","-","0.43"
"2022/09/01","21:54","0.544","-","0.44"
"2022/09/01","22:00","0.559","-","0.46"
"2022/09/01","22:06","0.575","-","0.49"
"2022/09/01","22:12","0.593","-","0.52"
"2022/09/01","22:18","0.612","-","0.56"
"2022/09/01","22:24","0.633","-","0.59"
"2022/09/01","22:30","0.655","-","0.61"
"2022/09/01","22:36","0.679","-","0.63"
"2022/09/01","22:42","0.705","-","0.66"
"2022/09/01","22:48","0.732","-","0.69"
"2022/09/01","22:54","0.761","-","0.75"
"2022/09/01","23:00","0.792","-","0.79"
"2022/09/01","23:06","0.824","-","0.82"
"2022/09/01","23:12","0.858","-","0.84"
"2022/09/01","23:18","0.892","-","0.87"
"2022/09/01","23:24","0.928","-","0.9"
"2022/09/01","23:30","0.965","-","0.95"
"2022/09/01","23:36","1.003","-","0.98"
"2022/09/01","23:42","1.042","-","1.02"
"2022/09/01","23:48","1.082","-","1.05"
"2022/09/01","23:54","1.121","-","1.08"
"2022/09/02","00:00","1.161","-","1.13"
"2022/09/02","00:06","1.202","-","1.15"
"2022/09/02","00:12","1.242","-","1.18"
"2022/09/02","00:18","1.282","-","1.23"
"2022/09/02","00:24","1.322","-","1.26"
"2022/09/02","00:30","1.361","-","1.3"
"2022/09/02","00:36","1.4","-","1.34"
"2022/09/02","00:42","1.437","-","1.37"
"2022/09/02","00:48","1.474","-","1.41"
"2022/09/02","00:54","1.51","-","1.45"
"2022/09/02","01:00","1.545","-","1.49"
"2022/09/02","01:06","1.579","-","1.53"
"2022/09/02","01:12","1.612","-","1.58"
"2022/09/02","01:18","1.643","-","1.62"
"2022/09/02","01:24","1.673","-","1.65"
"2022/09/02","01:30","1.701","-","1.69"
"2022/09/02","01:36","1.729","-","1.72"
"2022/09/02","01:42","1.754","-","1.74"
"2022/09/02","01:48","1.779","-","1.77"
"2022/09/02","01:54","1.802","-","1.8"
"2022/09/02","02:00","1.823","-","1.82"
"2022/09/02","02:06","1.843","-","1.84"
"2022/09/02","02:12","1.862","-","1.86"
"2022/09/02","02:18","1.879","-","1.88"
"2022/09/02","02:24","1.894","-","1.89"
"2022/09/02","02:30","1.908","-","1.91"
"2022/09/02","02:36","1.921","-","1.92"
"2022/09/02","02:42","1.932","-","1.94"
"2022/09/02","02:48","1.942","-","1.96"
"2022/09/02","02:54","1.95","-","1.96"
"2022/09/02","03:00","1.956","-","1.97"
"2022/09/02","03:06","1.961","-","1.98"
"2022/09/02","03:12","1.965","-","1.99"
"2022/09/02","03:18","1.967","-","2.01"
"2022/09/02","03:24","1.968","-","2.02"
"2022/09/02","03:30","1.967","-","2.03"
"2022/09/02","03:36","1.964","-","2.03"
"2022/09/02","03:42","1.96","-","2.03"
"2022/09/02","03:48","1.955","-","2.02"
"2022/09/02","03:54","1.948","-","2.02"
"2022/09/02","04:00","1.94","-","2.01"
"2022/09/02","04:06","1.931","-","2.02"
"2022/09/02","04:12","1.92","-","2.01"
"2022/09/02","04:18","1.908","-","1.99"
"2022/09/02","04:24","1.895","-","1.98"
"2022/09/02","04:30","1.88","-","1.95"
"2022/09/02","04:36","1.865","-","1.93"
"2022/09/02","04:42","1.849","-","1.91"
"2022/09/02","04:48","1.831","-","1.89"
"2022/09/02","04:54","1.813","-","1.87"
"2022/09/02","05:00","1.794","-","1.84"
"2022/09/02","05:06","1.774","-","1.82"
"2022/09/02","05:12","1.753","-","1.79"
"2022/09/02","05:18","1.732","-","1.78"
"2022/09/02","05:24","1.71","-","1.75"
"2022/09/02","05:30","1.688","-","1.73"
"2022/09/02","05:36","1.665","-","1.71"
"2022/09/02","05:42","1.642","-","1.68"
"2022/09/02","05:48","1.618","-","1.65"
"2022/09/02","05:54","1.594","-","1.62"
"2022/09/02","06:00","1.57","-","1.6"
"2022/09/02","06:06","1.546","-","1.58"
"2022/09/02","06:12","1.522","-","1.56"
"2022/09/02","06:18","1.498","-","1.53"
"2022/09/02","06:24","1.473","-","1.5"
"2022/09/02","06:30","1.449","-","1.48"
"2022/09/02","06:36","1.425","-","1.45"
"2022/09/02","06:42","1.402","-","1.43"
"2022/09/02","06:48","1.378","-","1.4"
"2022/09/02","06:54","1.355","-","1.37"
"2022/09/02","07:00","1.332","-","1.35"
"2022/09/02","07:06","1.31","-","1.33"
"2022/09/02","07:12","1.288","-","1.3"
"2022/09/02","07:18","1.266","-","1.28"
"2022/09/02","07:24","1.245","-","1.26"
"2022/09/02","07:30","1.225","-","1.25"
"2022/09/02","07:36","1.205","-","1.23"
"2022/09/02","07:42","1.186","-","1.22"
"2022/09/02","07:48","1.167","-","1.2"
"2022/09/02","07:54","1.149","-","1.2"
"2022/09/02","08:00","1.132","-","1.18"
"2022/09/02","08:06","1.115","-","1.18"
"2022/09/02","08:12","1.099","-","1.16"
"2022/09/02","08:18","1.083","-","1.16"
"2022/09/02","08:24","1.068","-","1.14"
"2022/09/02","08:30","1.054","-","1.13"
"2022/09/02","08:36","1.04","-","1.12"
"2022/09/02","08:42","1.027","-","1.09"
"2022/09/02","08:48","1.014","-","1.08"
"2022/09/02","08:54","1.002","-","1.06"
"2022/09/02","09:00","0.99","-","1.07"
"2022/09/02","09:06","0.978","-","1.05"
"2022/09/02","09:12","0.967","-","1.03"
"2022/09/02","09:18","0.957","-","1"
"2022/09/02","09:24","0.947","-","0.98"
"2022/09/02","09:30","0.937","-","0.95"
"2022/09/02","09:36","0.928","-","0.94"
"2022/09/02","09:42","0.92","-","0.94"
"2022/09/02","09:48","0.912","-","0.93"
"2022/09/02","09:54","0.905","-","0.9"
"2022/09/02","10:00","0.898","-","0.89"
"2022/09/02","10:06","0.893","-","0.85"
"2022/09/02","10:12","0.888","-","0.84"
"2022/09/02","10:18","0.885","-","0.83"
"2022/09/02","10:24","0.882","-","0.82"
"2022/09/02","10:30","0.88","-","0.81"
"2022/09/02","10:36","0.88","-","0.83"
"2022/09/02","10:42","0.881","-","0.84"
"2022/09/02","10:48","0.883","-","0.83"
"2022/09/02","10:54","0.887","-","0.81"
"2022/09/02","11:00","0.892","-","0.8"
"2022/09/02","11:06","0.898","-","0.81"
"2022/09/02","11:12","0.906","-","0.81"
"2022/09/02","11:18","0.915","-","0.83"
"2022/09/02","11:24","0.926","-","0.85"
"2022/09/02","11:30","0.938","-","0.87"
"2022/09/02","11:36","0.951","-","0.88"
"2022/09/02","11:42","0.966","-","0.91"
"2022/09/02","11:48","0.981","-","0.95"
"2022/09/02","11:54","0.998","-","0.96"
"2022/09/02","12:00","1.016","-","1"
"2022/09/02","12:06","1.034","-","1"
"2022/09/02","12:12","1.053","-","1.04"
"2022/09/02","12:18","1.073","-","1.07"
"2022/09/02","12:24","1.093","-","1.08"
"2022/09/02","12:30","1.113","-","1.11"
"2022/09/02","12:36","1.134","-","1.12"
"2022/09/02","12:42","1.154","-","1.16"
"2022/09/02","12:48","1.174","-","1.18"
"2022/09/02","12:54","1.194","-","1.2"
"2022/09/02","13:00","1.214","-","1.21"
"2022/09/02","13:06","1.233","-","1.24"
"2022/09/02","13:12","1.251","-","1.27"
"2022/09/02","13:18","1.269","-","1.3"
"2022/09/02","13:24","1.286","-","1.31"
"2022/09/02","13:30","1.303","-","1.33"
"2022/09/02","13:36","1.318","-","1.33"
"2022/09/02","13:42","1.333","-","1.37"
"2022/09/02","13:48","1.347","-","1.38"
"2022/09/02","13:54","1.359","-","1.4"
"2022/09/02","14:00","1.371","-","1.39"
"2022/09/02","14:06","1.382","-","1.41"
"2022/09/02","14:12","1.392","-","1.4"
"2022/09/02","14:18","1.401","-","1.41"
"2022/09/02","14:24","1.409","-","1.4"
"2022/09/02","14:30","1.416","-","1.43"
"2022/09/02","14:36","1.422","-","1.43"
"2022/09/02","14:42","1.427","-","1.42"
"2022/09/02","14:48","1.431","-","1.42"
"2022/09/02","14:54","1.435","-","1.43"
"2022/09/02","15:00","1.437","-","1.43"
"2022/09/02","15:06","1.438","-","1.43"
"2022/09/02","15:12","1.438","-","1.44"
"2022/09/02","15:18","1.437","-","1.45"
"2022/09/02","15:24","1.434","-","1.42"
"2022/09/02","15:30","1.431","-","1.4"
"2022/09/02","15:36","1.427","-","1.4"
"2022/09/02","15:42","1.421","-","1.39"
"2022/09/02","15:48","1.414","-","1.38"
"2022/09/02","15:54","1.407","-","1.38"
"2022/09/02","16:00","1.397","-","1.36"
"2022/09/02","16:06","1.387","-","1.35"
"2022/09/02","16:12","1.376","-","1.35"
"2022/09/02","16:18","1.363","-","1.33"
"2022/09/02","16:24","1.349","-","1.32"
"2022/09/02","16:30","1.334","-","1.31"
"2022/09/02","16:36","1.318","-","1.27"
"2022/09/02","16:42","1.301","-","1.27"
"2022/09/02","16:48","1.283","-","1.25"
"2022/09/02","16:54","1.264","-","1.22"
"2022/09/02","17:00","1.244","-","1.2"
"2022/09/02","17:06","1.223","-","1.18"
"2022/09/02","17:12","1.201","-","1.17"
"2022/09/02","17:18","1.179","-","1.13"
"2022/09/02","17:24","1.155","-","1.11"
"2022/09/02","17:30","1.132","-","1.07"
"2022/09/02","17:36","1.107","-","1.05"
"2022/09/02","17:42","1.082","-","1.05"
"2022/09/02","17:48","1.057","-","1.01"
"2022/09/02","17:54","1.032","-","1"
"2022/09/02","18:00","1.006","-","0.97"
"2022/09/02","18:06","0.98","-","0.93"
"2022/09/02","18:12","0.955","-","0.9"
"2022/09/02","18:18","0.929","-","0.88"
"2022/09/02","18:24","0.903","-","0.86"
"2022/09/02","18:30","0.877","-","0.83"
"2022/09/02","18:36","0.852","-","0.78"
"2022/09/02","18:42","0.827","-","0.76"
"2022/09/02","18:48","0.802","-","0.75"
"2022/09/02","18:54","0.778","-","0.72"
"2022/09/02","19:00","0.754","-","0.7"
"2022/09/02","19:06","0.731","-","0.67"
"2022/09/02","19:12","0.709","-","0.63"
"2022/09/02","19:18","0.687","-","0.61"
"2022/09/02","19:24","0.666","-","0.59"
"2022/09/02","19:30","0.646","-","0.57"
"2022/09/02","19:36","0.627","-","0.56"
"2022/09/02","19:42","0.608","-","0.53"
"2022/09/02","19:48","0.591","-","0.5"
"2022/09/02","19:54","0.575","-","0.49"
"2022/09/02","20:00","0.56","-","0.48"
"2022/09/02","20:06","0.545","-","0.48"
"2022/09/02","20:12","0.532","-","0.45"
"2022/09/02","20:18","0.521","-","0.43"
"2022/09/02","20:24","0.51","-","0.42"
"2022/09/02","20:30","0.5","-","0.41"
"2022/09/02","20:36","0.491","-","0.42"
"2022/09/02","20:42","0.484","-","0.4"
"2022/09/02","20:48","0.478","-","0.39"
"2022/09/02","20:54","0.472","-","0.39"
"2022/09/02","21:00","0.468","-","0.35"
"2022/09/02","21:06","0.465","-","0.35"
"2022/09/02","21:12","0.463","-","0.35"
"2022/09/02","21:18","0.462","-","0.35"
"2022/09/02","21:24","0.462","-","0.34"
"2022/09/02","21:30","0.463","-","0.34"
"2022/09/02","21:36","0.464","-","0.33"
"2022/09/02","21:42","0.467","-","0.33"
"2022/09/02","21:48","0.471","-","0.34"
"2022/09/02","21:54","0.476","-","0.34"
"2022/09/02","22:00","0.482","-","0.35"
"2022/09/02","22:06","0.489","-","0.36"
"2022/09/02","22:12","0.497","-","0.37"
"2022/09/02","22:18","0.507","-","0.37"
"2022/09/02","22:24","0.517","-","0.39"
"2022/09/02","22:30","0.529","-","0.41"
"2022/09/02","22:36","0.542","-","0.41"
"2022/09/02","22:42","0.556","-","0.43"
"2022/09/02","22:48","0.572","-","0.46"
"2022/09/02","22:54","0.59","-","0.48"
"2022/09/02","23:00","0.609","-","0.49"
"2022/09/02","23:06","0.629","-","0.52"
"2022/09/02","23:12","0.651","-","0.54"
"2022/09/02","23:18","0.675","-","0.57"
"2022/09/02","23:24","0.7","-","0.63"
"2022/09/02","23:30","0.727","-","0.64"
"2022/09/02","23:36","0.756","-","0.68"
"2022/09/02","23:42","0.786","-","0.74"
"2022/09/02","23:48","0.817","-","0.77"
"2022/09/02","23:54","0.85","-","0.83"
"2022/09/03","00:00","0.885","-","0.86"
"2022/09/03","00:06","0.92","-","0.92"
"2022/09/03","00:12","0.957","-","0.97"
"2022/09/03","00:18","0.994","-","1.03"
"2022/09/03","00:24","1.032","-","1.1"
"2022/09/03","00:30","1.071","-","1.16"
"2022/09/03","00:36","1.111","-","1.22"
"2022/09/03","00:42","1.151","-","1.27"
"2022/09/03","00:48","1.191","-","1.31"
"2022/09/03","00:54","1.231","-","1.34"
"2022/09/03","01:00","1.271","-","1.38"
"2022/09/03","01:06","1.311","-","1.42"
"2022/09/03","01:12","1.35","-","1.46"
"2022/09/03","01:18","1.389","-","1.49"
"2022/09/03","01:24","1.427","-","1.51"
"2022/09/03","01:30","1.464","-","1.54"
"2022/09/03","01:36","1.501","-","1.57"
"2022/09/03","01:42","1.536","-","1.61"
"2022/09/03","01:48","1.571","-","1.64"
"2022/09/03","01:54","1.604","-","1.67"
"2022/09/03","02:00","1.636","-","1.73"
"2022/09/03","02:06","1.667","-","1.77"
"2022/09/03","02:12","1.697","-","1.8"
"2022/09/03","02:18","1.725","-","1.85"
"2022/09/03","02:24","1.753","-","1.88"
"2022/09/03","02:30","1.779","-","1.9"
"2022/09/03","02:36","1.803","-","1.95"
"2022/09/03","02:42","1.827","-","1.98"
"2022/09/03","02:48","1.849","-","2.03"
"2022/09/03","02:54","1.869","-","2.06"
"2022/09/03","03:00","1.889","-","2.09"
"2022/09/03","03:06","1.907","-","2.12"
"2022/09/03","03:12","1.924","-","2.15"
"2022/09/03","03:18","1.939","-","2.17"
"2022/09/03","03:24","1.953","-","2.21"
"2022/09/03","03:30","1.966","-","2.24"
"2022/09/03","03:36","1.977","-","2.26"
"2022/09/03","03:42","1.987","-","2.29"
"2022/09/03","03:48","1.996","-","2.31"
"2022/09/03","03:54","2.003","-","2.31"
"2022/09/03","04:00","2.009","-","2.32"
"2022/09/03","04:06","2.013","-","2.32"
"2022/09/03","04:12","2.016","-","2.33"
"2022/09/03","04:18","2.017","-","2.34"
"2022/09/03","04:24","2.016","-","2.32"
"2022/09/03","04:30","2.015","-","2.32"
"2022/09/03","04:36","2.011","-","2.32"
"2022/09/03","04:42","2.006","-","2.32"
"2022/09/03","04:48","2","-","2.31"
"2022/09/03","04:54","1.992","-","2.31"
"2022/09/03","05:00","1.983","-","2.31"
"2022/09/03","05:06","1.972","-","2.3"
"2022/09/03","05:12","1.96","-","2.29"
"2022/09/03","05:18","1.947","-","2.28"
"2022/09/03","05:24","1.933","-","2.27"
"2022/09/03","05:30","1.917","-","2.26"
"2022/09/03","05:36","1.901","-","2.25"
"2022/09/03","05:42","1.883","-","2.23"
"2022/09/03","05:48","1.865","-","2.23"
"2022/09/03","05:54","1.845","-","2.23"
"2022/09/03","06:00","1.825","-","2.2"
"2022/09/03","06:06","1.805","-","2.19"
"2022/09/03","06:12","1.783","-","2.18"
"2022/09/03","06:18","1.761","-","2.17"
"2022/09/03","06:24","1.739","-","2.15"
"2022/09/03","06:30","1.716","-","2.12"
"2022/09/03","06:36","1.693","-","2.11"
"2022/09/03","06:42","1.67","-","2.08"
"2022/09/03","06:48","1.647","-","2.06"
"2022/09/03","06:54","1.623","-","2.03"
"2022/09/03","07:00","1.6","-","2.01"
"2022/09/03","07:06","1.576","-","1.99"
"2022/09/03","07:12","1.553","-","1.97"
"2022/09/03","07:18","1.529","-","1.94"
"2022/09/03","07:24","1.506","-","1.91"
"2022/09/03","07:30","1.483","-","1.89"
"2022/09/03","07:36","1.46","-","1.87"
"2022/09/03","07:42","1.438","-","1.84"
"2022/09/03","07:48","1.416","-","1.82"
"2022/09/03","07:54","1.394","-","1.8"
"2022/09/03","08:00","1.372","-","1.78"
"2022/09/03","08:06","1.351","-","1.76"
"2022/09/03","08:12","1.331","-","1.75"
"2022/09/03","08:18","1.311","-","1.74"
"2022/09/03","08:24","1.291","-","1.72"
"2022/09/03","08:30","1.272","-","1.7"
"2022/09/03","08:36","1.253","-","1.65"
"2022/09/03","08:42","1.235","-","1.63"
"2022/09/03","08:48","1.217","-","1.6"
"2022/09/03","08:54","1.2","-","1.6"
"2022/09/03","09:00","1.183","-","1.6"
"2022/09/03","09:06","1.166","-","1.58"
"2022/09/03","09:12","1.15","-","1.58"
"2022/09/03","09:18","1.134","-","1.56"
"2022/09/03","09:24","1.119","-","1.54"
"2022/09/03","09:30","1.104","-","1.54"
"2022/09/03","09:36","1.089","-","1.53"
"2022/09/03","09:42","1.075","-","1.53"
"2022/09/03","09:48","1.061","-","1.52"
"2022/09/03","09:54","1.047","-","1.52"
"2022/09/03","10:00","1.034","-","1.51"
"2022/09/03","10:06","1.021","-","1.5"
"2022/09/03","10:12","1.008","-","1.49"
"2022/09/03","10:18","0.996","-","1.48"
"2022/09/03","10:24","0.984","-","1.48"
"2022/09/03","10:30","0.973","-","1.49"
"2022/09/03","10:36","0.962","-","1.48"
"2022/09/03","10:42","0.952","-","1.48"
"2022/09/03","10:48","0.942","-","1.48"
"2022/09/03","10:54","0.933","-","1.48"
"2022/09/03","11:00","0.925","-","1.47"
"2022/09/03","11:06","0.918","-","1.46"
"2022/09/03","11:12","0.912","-","1.47"
"2022/09/03","11:18","0.907","-","1.48"
"2022/09/03","11:24","0.903","-","1.48"
"2022/09/03","11:30","0.901","-","1.47"
"2022/09/03","11:36","0.899","-","1.46"
"2022/09/03","11:42","0.899","-","1.48"
"2022/09/03","11:48","0.9","-","1.48"
"2022/09/03","11:54","0.903","-","1.5"
"2022/09/03","12:00","0.906","-","1.5"
"2022/09/03","12:06","0.912","-","1.53"
"2022/09/03","12:12","0.918","-","1.54"
"2022/09/03","12:18","0.926","-","1.54"
"2022/09/03","12:24","0.935","-","1.55"
"2022/09/03","12:30","0.945","-","1.56"
"2022/09/03","12:36","0.956","-","1.57"
